anio_tri,provincia,ingresos (en miles de pesos)
20181,Salta,2075930.4549374068
20182,Salta,2265943.363442043
20183,Salta,2407527.1821157783
20184,Salta,2623554.9144743537
20191,Salta,3210474.6785659683
20192,Salta,3442694.893774564
20193,Salta,3815855.6481248215
20194,Salta,4821440.41468402
20201,Salta,5884882.099678448
20202,Salta,6560455.664787407
20203,Salta,6632804.147222908
20204,Salta,7181062.225715139
20211,Salta,7836658.36981291
20212,Salta,8322194.04507557
20213,Salta,9533661.610501792
20214,Salta,10233959.604553575
20221,Salta,12358081.540717999
20222,Salta,13754934.387945347
20223,Salta,15345410.543471698
20224,Salta,12401563.134158
20231,Salta,13732709.49784337
20232,Salta,15331372.58312049
20141,San Juan,412981.2637765005
20142,San Juan,455620.172215939
20143,San Juan,485790.50854695746
20144,San Juan,555441.3121340462
20151,San Juan,673649.7901036452
20152,San Juan,651652.3232927208
20153,San Juan,715066.0662858112
20154,San Juan,745759.2407515699
20161,San Juan,813598.1100496007
20162,San Juan,895794.2027330105
20163,San Juan,946949.4240605362
20164,San Juan,1024119.7530693422
20171,San Juan,1179778.4996075537
20172,San Juan,1308425.8850263217
20173,San Juan,1633857.3196984676
20174,San Juan,1705639.199199292
20181,San Juan,2153769.7457063124
20182,San Juan,2365902.596002741
20183,San Juan,2553973.2120768675
20184,San Juan,2661326.887998548
20191,San Juan,3225239.475438454
20192,San Juan,3702871.361184578
20193,San Juan,4023768.860978692
20194,San Juan,3981192.293688398
20201,San Juan,4863707.957513764
20202,San Juan,5648543.6229892345
20203,San Juan,6223714.61008601
20204,San Juan,6108289.910943671
20211,San Juan,7183451.849871511
20212,San Juan,7531824.115190709
20213,San Juan,8508236.627779836
20214,San Juan,9026198.13773012
20221,San Juan,12139460.850797415
20222,San Juan,14963845.97791276
20223,San Juan,17081086.47419368
20224,San Juan,11942548.679486897
20231,San Juan,14330487.881344657
20232,San Juan,16271450.47771999
20141,San Luis,86173.37674409909
20142,San Luis,98192.24757997929
20143,San Luis,104323.77389500353
20144,San Luis,119449.15841986562
20151,San Luis,146392.58313989453
20152,San Luis,141005.9285230491
20153,San Luis,154559.77372461912
20154,San Luis,161252.30493436527
20161,San Luis,175844.64210019648
20162,San Luis,193740.85138455464
20163,San Luis,205595.02905093512
20164,San Luis,222825.2870301106
20171,San Luis,256647.7109721524
20172,San Luis,284282.4109562272
20173,San Luis,481263.16030741745
20174,San Luis,367181.4509348193
20181,San Luis,616313.0158888965
20182,San Luis,670030.0925426355
20183,San Luis,2491734.6614078516
20184,San Luis,3471147.9557996183
20191,San Luis,4202799.517450793
20192,San Luis,5239973.233834147
20193,San Luis,5699809.389522221
20194,San Luis,5592626.073775241
20201,San Luis,7057944.335422021
20202,San Luis,7774362.847811197
20203,San Luis,7902107.057157628
20204,San Luis,8461157.204164455
20211,San Luis,9202611.633414328
20212,San Luis,9859419.934459975
20213,San Luis,10607337.735283121
20214,San Luis,11276521.174895398
20221,San Luis,13859023.345085837
20222,San Luis,15235974.380281385
20223,San Luis,16928818.391263526
20224,San Luis,14104936.944708876
20231,San Luis,15416242.268800333
20232,San Luis,17312356.185714673
20141,Santa Cruz,438968.3075426047
20142,Santa Cruz,488467.7173296767
20143,Santa Cruz,499169.5403767005
20144,Santa Cruz,558236.6392357941
20151,Santa Cruz,693791.2955312841
20152,Santa Cruz,646963.139695126
20153,Santa Cruz,723297.2087493102
20154,Santa Cruz,758169.4784655868
20161,Santa Cruz,810870.1970132203
20162,Santa Cruz,887814.1626789463
20163,Santa Cruz,943065.7519053773
20164,Santa Cruz,1029029.5570978466
20171,Santa Cruz,1172953.1946699393
20172,Santa Cruz,1291433.1194428492
20173,Santa Cruz,1703329.219635407
20174,Santa Cruz,1649703.9122899356
20181,Santa Cruz,2246230.761416488
20182,Santa Cruz,2425996.2668073736
20183,Santa Cruz,2563918.712045054
20184,Santa Cruz,2003484.4320829846
20191,Santa Cruz,2431291.091189875
20192,Santa Cruz,3041920.20128341
20193,Santa Cruz,3921541.4110732093
20194,Santa Cruz,4509989.575623175
20201,Santa Cruz,5475330.666495353
20202,Santa Cruz,5840206.320687522
20203,Santa Cruz,5847122.028402399
20204,Santa Cruz,6307959.5280410275
20211,Santa Cruz,7764783.025333212
20212,Santa Cruz,8554476.387320299
20213,Santa Cruz,9562554.183414932
20214,Santa Cruz,9949606.141677793
20221,Santa Cruz,12246543.21101192
20222,Santa Cruz,13233761.092287555
20223,Santa Cruz,14721374.325645447
20224,Santa Cruz,12406443.031281592
20231,Santa Cruz,13660300.89600214
20232,Santa Cruz,15246474.599476023
20141,Santa Fe,381666.3541137609
20142,Santa Fe,423064.89683024713
20143,Santa Fe,457477.34903227404
20144,Santa Fe,527971.9384882671
20151,Santa Fe,654851.5708963078
20152,Santa Fe,643218.9905280231
20153,Santa Fe,718409.3729827035
20154,Santa Fe,756128.2022497475
20161,Santa Fe,813764.9555508179
20162,Santa Fe,915910.6050743968
20163,Santa Fe,973173.0530635326
20164,Santa Fe,1044035.2722045225
20171,Santa Fe,1208724.0800549616
20172,Santa Fe,1352266.8661486348
20173,Santa Fe,1638855.6228871718
20174,Santa Fe,1851743.1795199923
20181,Santa Fe,2192692.5674692374
20182,Santa Fe,2394904.853682441
20183,Santa Fe,2612060.877013148
20184,Santa Fe,2916928.8569233404
20191,Santa Fe,3617314.7091606185
20192,Santa Fe,3738161.345343588
20193,Santa Fe,3986009.787222885
20194,Santa Fe,4488675.9948187
20201,Santa Fe,5564766.841027973
20202,Santa Fe,6006643.075441527
20203,Santa Fe,6168311.1881775325
20204,Santa Fe,6596510.412073987
20211,Santa Fe,7246754.88002374
20212,Santa Fe,7673186.849078904
20213,Santa Fe,8622639.039126473
20214,Santa Fe,9369104.304622315
20221,Santa Fe,11486068.46802577
20222,Santa Fe,12563401.592850326
20223,Santa Fe,14079221.314188948
20224,Santa Fe,11575751.498281753
20231,Santa Fe,12715233.098238466
20232,Santa Fe,14230485.68790733
20141,Santiago Del Estero,234710.4498139974
20142,Santiago Del Estero,263417.3470021207
20143,Santiago Del Estero,276631.5302917393
20144,Santiago Del Estero,329010.45918062597
20151,Santiago Del Estero,401188.7999816965
20152,Santiago Del Estero,387958.36165282887
20153,Santiago Del Estero,425498.43588273483
